from,to
Erich_Honecker,Walter_Ulbricht
Hans_Fritzsche,Joseph_Goebbels
Joachim_von_Ribbentrop,Konstantin_von_Neurath
Joseph_Goebbels,Otto_von_Bismarck
Joseph_Goebbels,Paul_von_Hindenburg
Karl_D?nitz,Heinrich_Himmler
Kurt_Georg_Kiesinger,Ludwig_Erhard
Ludwig_Erhard,Walter_Scheel
Ludwig_Erhard,Konrad_Adenauer
Ludwig_Erhard,Kurt_Georg_Kiesinger
Ludwig_Quidde,Otto_von_Bismarck
Robert_Ley,Gregor_Strasser
Walther_Funk,Gregor_Strasser
Walther_Funk,Hjalmar_Schacht
"Wilhelm_II,_German_Emperor",Alfred_von_Tirpitz
"Wilhelm_II,_German_Emperor",Bernhard_von_B?low
"Wilhelm_II,_German_Emperor",Theobald_von_Bethmann-Hollweg
"Wilhelm_II,_German_Emperor",Otto_von_Bismarck
