node,indegree,outdegree,kcore
10143,1,0,1
13751,1,1,2
15691,0,1,1
27781,4,2,4
29460,6,3,5
30767,1,2,1
33270,1,0,1
33605,0,5,2
33728,2,2,2
36337,0,5,2
39047,1,1,2
40968,0,1,1
42645,0,3,2
43636,1,0,1
45483,1,0,1
51061,1,0,1
56973,0,1,1
57447,0,1,1
57526,0,1,1
60685,1,0,1
62512,0,1,1
62524,0,1,1
73844,2,0,2
74771,0,2,2
76669,1,0,1
76700,0,2,2
81474,5,2,2
82497,4,3,5
89540,2,0,2
94816,3,3,4
95099,3,1,3
96152,0,3,2
101711,3,8,5
116926,1,0,1
123588,1,0,1
126545,1,0,1
130966,0,4,4
133249,0,1,1
134788,0,1,1
145908,1,1,2
154507,1,0,1
162580,0,2,1
165675,2,1,2
168402,10,1,2
187827,2,1,2
193583,0,2,2
195858,2,0,1
204249,0,3,2
206310,1,0,1
207552,1,1,2
216223,2,0,2
216297,0,4,3
221759,1,0,1
222972,0,1,1
226250,1,3,2
230202,1,2,2
232345,0,1,1
236864,0,1,1
237820,1,0,1
242804,1,0,1
243054,3,1,2
246370,2,7,5
256876,1,0,1
257890,1,1,2
267790,1,0,1
268914,0,2,1
271544,2,3,4
274989,0,2,1
290017,11,3,5
300396,2,0,2
302306,1,0,1
302926,1,0,1
304843,2,2,3
312393,1,1,2
312408,0,1,1
316702,1,0,1
329191,0,1,1
332683,1,0,1
338407,1,1,2
338575,1,0,1
339404,0,6,1
339892,3,3,5
341040,1,0,1
360229,4,3,5
363039,1,0,1
370139,1,0,1
370496,0,2,2
379452,1,0,1
380040,1,2,2
384846,3,2,3
385059,0,1,1
386402,7,3,3
386776,0,1,1
386827,8,5,5
386870,0,2,2
388960,1,0,1
389395,3,6,5
394441,0,2,1
398186,0,1,1
407003,0,1,1
410842,0,1,1
410843,1,0,1
411516,1,1,2
414148,0,2,2
418807,0,1,1
418885,0,2,2
420036,1,0,1
420274,1,0,1
420921,0,1,1
421871,0,2,1
433139,1,0,1
438162,1,0,1
438519,1,0,1
441637,1,0,1
443641,1,0,1
448646,3,2,4
450137,0,1,1
456002,0,1,1
456033,0,1,1
458637,3,2,2
469742,1,0,1
477777,1,2,2
479167,0,4,1
479851,10,5,5
481708,1,0,1
485598,1,0,1
486093,1,1,2
490140,1,0,1
491391,1,0,1
492673,1,0,1
493782,1,1,2
494412,0,2,1
497636,0,3,2
510856,1,0,1
514023,1,0,1
516767,0,1,1
517553,5,2,4
523152,1,0,1
524262,1,0,1
524374,1,0,1
525393,1,0,1
528177,3,2,4
531413,3,3,4
535212,1,0,1
549182,1,1,2
549259,0,1,1
549991,1,0,1
551298,1,0,1
551499,1,0,1
554382,5,6,4
558834,0,1,1
558867,1,5,2
562922,1,0,1
566452,1,0,1
573300,1,0,1
575444,0,1,1
577778,0,1,1
577982,2,1,3
586008,1,0,1
592674,1,0,1
593574,0,1,1
600199,2,3,2
604828,5,3,4
609002,1,0,1
610095,1,5,3
611921,1,2,2
617496,1,0,1
622869,1,0,1
628248,3,2,4
633963,2,3,4
635030,0,2,2
635173,1,1,2
642205,4,2,2
647703,3,3,5
649184,1,0,1
651613,3,2,4
658994,1,0,1
663679,1,4,3
668368,0,1,1
671272,1,3,2
676147,0,4,1
679966,2,4,4
683124,0,2,1
685013,0,4,2
685545,1,0,1
693448,1,0,1
693828,4,3,4
695003,0,3,1
697260,1,0,1
699706,3,0,2
705598,0,1,1
705811,1,0,1
712726,1,0,1
715046,1,1,2
715109,1,0,1
721174,4,2,4
724090,1,2,3
725953,1,1,2
734157,0,3,1
746984,0,3,1
747405,0,1,1
757243,0,1,1
758123,1,0,1
762374,0,1,1
766948,1,0,1
771352,4,1,4
772255,0,3,1
772795,2,0,1
774218,0,1,1
776840,1,0,1
782337,0,2,1
785257,0,1,1
785586,1,0,1
786492,3,0,2
790516,2,2,2
792590,2,0,1
792932,2,0,2
799875,0,1,1
801013,3,1,2
803946,2,2,4
804943,1,0,1
805092,1,0,1
812341,0,1,1
813136,0,1,1
813549,1,0,1
815697,1,0,1
818564,0,1,1
826859,0,1,1
827574,1,0,1
827580,5,0,1
830747,0,1,1
833302,1,0,1
842911,1,1,2
843335,5,7,5
847881,1,0,1
848587,0,1,1
849023,1,6,2
849987,3,2,4
852485,3,2,2
852717,3,2,3
855633,0,1,1
856897,1,1,1
858767,1,0,1
860965,1,1,1
862681,0,1,1
868352,0,1,1
877141,0,1,1
878788,5,2,2
879246,4,3,5
884902,0,2,1
889817,1,0,1
892536,1,0,1
894679,0,1,1
897873,1,1,2
902450,1,0,1
903455,0,2,2
905646,1,0,1
909147,0,1,1
919136,2,1,2
920082,0,1,1
927440,1,0,1
932581,1,0,1
936806,1,0,1
943967,3,2,4
953579,1,3,2
954460,0,2,2
959092,2,0,1
959414,1,0,1
968336,1,0,1
968678,0,1,1
972754,1,0,1
976337,0,1,1
976522,1,0,1
976956,2,1,2
978039,2,1,2
980492,1,0,1
988002,1,2,2
993795,1,0,1
997700,0,1,1
1000371,1,1,1
1016571,2,1,2
1016615,2,1,3
1017699,1,0,1
1021051,1,0,1
1033173,1,0,1
1044597,2,1,1
1049865,1,2,1
1060562,0,1,1
1062053,1,0,1
1062222,0,2,1
1066078,0,1,1
1066674,1,0,1
1068040,0,1,1
1073209,1,3,1
1073449,1,0,1
1078241,1,0,1
1080006,0,1,1
1082884,2,0,1
1085470,0,1,1
1086501,0,1,1
1087424,0,2,2
1089615,0,1,1
1089707,3,2,4
1092448,1,0,1
1093995,0,2,2
1097977,1,0,1
1099854,0,1,1
1102943,0,1,1
1112044,3,2,3
1114375,1,0,1
1115765,0,1,1
1149283,4,2,4
1149853,1,0,1
1161613,1,1,2
1165523,3,1,3
